,kinect_id,person_id,movementAmount,isTalking,headAngle,Head_x,Head_y,Head_z,ShoulderLeft_x,ShoulderLeft_y,ShoulderLeft_z,ShoulderRight_x,ShoulderRight_y,ShoulderRight_z,ElbowLeft_x,ElbowLeft_y,ElbowLeft_z,ElbowRight_x,ElbowRight_y,ElbowRight_z,HandLeft_x,HandLeft_y,HandLeft_z,HandRight_x,HandRight_y,HandRight_z,leanVector_x,leanVector_z,weighted_name,timeframe,minute,activity
108,3455463847,7.20576E+16,12.434,FALSE,-1.523502954,2.9444532,1.064272,1.295765,3.0037941,1.036107,1.46847355,2.870315,1.044132,1.3591842,2.9400725,1.073047,1.3260577,2.9607781,0.998713,1.2302589,2.8370596,1.094725,1.1493047,3.00597,0.897543,1.081711,0.07754701,0.3625792,ben,4/6/18 16:13,4/6/18 16:13,tprinter
109,9615764747,7.20576E+16,6.05,FALSE,1.131437217,2.095042768,2.326236737,1.9340756,2.18347397,2.362015209,1.8270379,2.039253372,2.311971285,1.854697,2.262091692,2.430072984,1.7303777,2.148201712,2.331492538,1.7040819,2.375177864,2.447557825,1.8719791,2.039339799,2.4363641,1.436097,-0.2014917,0.7506342,ken,4/6/18 16:13,4/6/18 16:13,i
110,9615764747,7.20576E+16,0.69,FALSE,1.160929437,2.482220529,4.496803942,1.46805371,2.56372312,4.464091341,1.235582,2.353909626,4.361924161,1.3142915,2.566635445,4.48460765,1.0366703,2.272545921,4.374196141,1.1267691,2.812591112,4.504310432,1.1323932,2.401656103,4.456748647,1.0099887,-0.1550212,0.2342715,mia,4/6/18 16:13,4/6/18 16:13,i
111,9615764747,7.20576E+16,17.248,FALSE,0.832413126,2.144784628,2.932087555,1.55023442,2.265494164,3.088922217,1.3734509,2.149055506,2.815687812,1.3679735,2.358234573,3.058000652,1.1759278,2.117046718,2.839205836,1.1456016,2.098941143,3.160145632,1.2520486,2.04153091,3.06119517,0.949397,0.1120636,-0.1811933,sue,4/6/18 16:13,4/6/18 16:13,i
112,3455463847,7.20576E+16,7.104,FALSE,-1.473722602,1.023579,4.208782,1.3189651,1.016422,4.180743,1.2096814,1.16965,4.188525,1.218454,0.984665,4.183983,1.1041793,1.224462,4.196441,1.2813736,0.983251,4.151102,1.1920251,1.201371,4.129017,1.1943346,-0.5807887,-0.08210257,zoe,4/6/18 16:13,4/6/18 16:13,i
113,3455463847,7.20576E+16,1.816,FALSE,-1.059090584,2.090037141,2.30188276,1.6584448,2.107416912,2.295947805,1.5269506,2.138142218,2.30662303,1.5427121,2.165255558,2.302944193,1.3903031,2.155932872,2.264197362,1.40248145,2.028538842,2.419218599,1.333881,2.086229866,2.323739585,1.17181662,-0.3977749,-0.04548766,ken,4/6/18 16:13,4/6/18 16:13,i
114,3455463847,7.20576E+16,9.075,FALSE,-1.473722602,1.021076,4.205322,1.327444,0.994423,4.175146,1.208429,1.177179,4.184958,1.2301209,1.040522,4.158309,1.3003806,1.239805,4.191395,1.2937764,1.047459,4.131321,1.3959926,1.321854,4.200201,1.1699273,-0.5122078,0.192756,zoe,4/6/18 16:13,4/6/18 16:13,i
115,9615764747,7.20576E+16,2.184,FALSE,1.437740713,2.483273686,4.499100207,1.46414027,2.563071277,4.46457185,1.2319585,2.353730362,4.364057441,1.3117206,2.565986864,4.485087515,1.0331014,2.2832252,4.378447059,1.1204322,2.827256278,4.489258337,1.0494047,2.416385782,4.45515979,1.0063087,-0.1643218,0.244966,mia,4/6/18 16:13,4/6/18 16:13,i
116,3455463847,7.20576E+16,0,FALSE,-1.306025875,1.148918,4.203629,1.211357,1.29115,4.175559,1.159945,1.322526,4.183416,1.1729372,1.20704,4.126462,1.1768411,1.234228,4.151427,1.1467597,1.102818,4.069129,1.149682,1.126633,4.097614,1.1340837,-0.113133,-0.1381762,mia,4/6/18 16:13,4/6/18 16:13,i
117,3455463847,7.20576E+16,0,FALSE,-1.306025875,1.048868,4.224542,1.3199515,1.063435,4.167257,1.2903769,1.170442,4.224084,1.2415581,1.032433,4.12916,1.179017,1.22853,4.165,1.1952978,1.030551,4.144446,1.0221499,1.155254,4.20532,1.1858345,0.5234923,-0.03298156,mia,4/6/18 16:13,4/6/18 16:13,i
118,9615764747,7.20576E+16,6.828,FALSE,1.131437217,2.094163017,2.322674857,1.9303372,2.185794729,2.361548108,1.8258836,2.033900223,2.306994106,1.8603783,2.266310917,2.434777111,1.735748,2.150695688,2.338896089,1.7188981,2.132271198,2.311651808,1.7219654,2.095756983,2.328671752,1.5485528,-0.2268076,0.6851279,ken,4/6/18 16:13,4/6/18 16:13,i
119,9615764747,7.20576E+16,1.833,FALSE,1.317279168,2.482961522,4.498062028,1.46461753,2.56385649,4.463731737,1.231411,2.353514546,4.363863012,1.3118617,2.56677331,4.484245589,1.0325612,2.278331857,4.376126281,1.1221248,2.827991399,4.488328564,1.0500771,2.410389736,4.45457673,1.0071283,-0.1643218,0.244966,mia,4/6/18 16:13,4/6/18 16:14,i
120,9615764747,7.20576E+16,22.381,FALSE,-1.10799543,1.93777635,1.111393511,1.9816588,1.973001609,1.131749568,1.8758689,1.873561501,1.08391831,1.8216513,1.87024881,1.095057293,1.9922226,1.991616026,1.115136538,1.8224097,1.971978362,1.150016397,1.9901499,1.833901945,1.078642346,1.8488439,-0.01693441,0.3835254,kim,4/6/18 16:13,4/6/18 16:14,i
121,3455463847,7.20576E+16,1.605,FALSE,-1.059090584,2.083112692,2.291578751,1.65583195,2.105544165,2.289927262,1.5267179,2.133633129,2.304674989,1.5530009,2.167158971,2.288388917,1.38890785,2.154480994,2.262106981,1.40778,2.009094192,2.270535702,1.29862125,2.093785259,2.286992833,1.190019375,-0.4149328,-0.0765388,ken,4/6/18 16:13,4/6/18 16:14,i
122,3455463847,7.20576E+16,2.417,FALSE,-1.302597595,3.1434407,1.602727,1.49771556,3.0761003,1.619915,1.347166,3.3065266,1.599627,1.3455885,2.9247141,1.706983,1.3561801,3.2835922,1.563527,1.1047781,2.8207685,1.770902,1.2061751,3.0783609,1.532812,1.4090566,-1,0.2874295,kim,4/6/18 16:13,4/6/18 16:14,i
123,9615764747,7.20576E+16,0.893,FALSE,1.317279168,2.482298699,4.498647423,1.4649341,2.56309953,4.465242037,1.2330828,2.353654213,4.363794219,1.3124081,2.566009195,4.485754425,1.0342093,2.278053417,4.376822,1.1228041,2.82644988,4.517094196,1.0306269,2.407789311,4.455119314,1.0083739,-0.1643218,0.244966,mia,4/6/18 16:13,4/6/18 16:14,i
124,9615764747,7.20576E+16,9.462,FALSE,0.70508634,2.252538416,2.955989935,1.58537744,2.346922095,3.079567916,1.3940637,2.208814846,2.877403512,1.4023223,2.278093343,3.128205848,1.2099579,2.181940519,2.890690697,1.1783834,2.52929021,3.02639296,1.1104647,2.060318634,3.05403992,1.0036981,-0.2220129,-0.1761898,sue,4/6/18 16:13,4/6/18 16:14,i
125,3455463847,7.20576E+16,2.417,FALSE,-1.299682848,2.4787187,1.472227,1.48122156,2.3632191,1.644051,1.3298188,2.70633574,1.49998,1.392728,2.4124082,1.549554,1.1704329,2.80649688,1.482316,1.2697996,2.4140194,1.522924,0.9666324,2.76994491,1.492586,1.0283146,1,0.6046434,kim,4/6/18 16:13,4/6/18 16:14,i
126,3455463847,7.20576E+16,145.539,FALSE,-1.227895733,2.4122587,1.567215,1.54641648,2.34473,1.638264,1.3263151,2.63109706,1.500732,1.4097414,2.3129055,1.644151,1.1579244,2.732608834,1.456088,1.2589155,2.2991147,1.648613,1.000135,2.75970628,1.415351,1.0230571,0.1416388,0.4939957,kim,4/6/18 16:13,4/6/18 16:14,i
127,9615764747,7.20576E+16,9.894,FALSE,1.131437217,2.085880641,2.322932552,1.9360169,2.174709274,2.3548118,1.8356919,2.025689151,2.312158731,1.8790563,2.258564517,2.445093695,1.7410637,2.17817242,2.423342301,1.8588978,2.195073282,2.523967833,1.53768309,2.139862576,2.308159988,1.7388638,-0.08228355,0.2917756,ken,4/6/18 16:13,4/6/18 16:14,i
128,9615764747,7.20576E+16,35.433,FALSE,0.970069006,1.95602074,2.913335159,1.5257417,2.084059616,3.055131075,1.3363069,1.927591929,2.793230894,1.3215392,2.212258152,3.085104887,1.1532891,1.790483282,2.838857397,1.2310056,2.508660346,3.092457287,1.1904758,1.789727172,2.593050744,1.369774,0.7577708,-0.08545271,sue,4/6/18 16:13,4/6/18 16:14,i
129,9615764747,7.20576E+16,3.758,FALSE,1.317279168,2.467487671,4.505683001,1.4471256,2.559365601,4.468031018,1.204822,2.344382068,4.367101371,1.3022523,2.613173741,4.463910199,1.0175141,2.259274098,4.333019751,1.1226025,2.503003572,4.479191304,1.2740144,2.377314942,4.436372184,1.0072602,-0.1413111,0.343696,mia,4/6/18 16:13,4/6/18 16:14,i
130,3455463847,7.20576E+16,4.684,FALSE,0.975258389,2.9202678,0.998807,1.2896858,2.9669786,0.954741,1.3308885,2.8609725,0.981593,1.3497011,2.8790955,1.026477,1.2221061,2.9638319,0.971245,1.2257561,2.81554942,1.120776,1.0768138,3.0102166,0.870354,1.0681247,0.0866172,0.06046534,ben,4/6/18 16:13,4/6/18 16:14,tprinter
